Word1,Word2,Predicted
admission,ticket,0.29834672808647156
alcohol,chemistry,0.2639569342136383
aluminum,metal,0.5338686108589172
announcement,effort,0.2880060374736786
announcement,news,0.4517541229724884
announcement,production,0.24030010402202606
announcement,warning,0.30822765827178955
architecture,century,0.039147041738033295
arrival,hotel,0.3226131200790405
atmosphere,landscape,0.411931574344635
attempt,peace,0.28241050243377686
baby,mother,0.5467695593833923
bank,money,0.08951713144779205
baseball,season,0.02370324730873108
bed,closet,0.6094120740890503
bird,cock,0.18700739741325378
bird,crane,0.2812339663505554
bishop,rabbi,0.1403958946466446
board,recommendation,0.4922006130218506
book,library,0.3951275944709778
book,paper,0.38191545009613037
boy,lad,0.5935027599334717
bread,butter,0.6162912249565125
brother,monk,0.3462581932544708
calculation,computation,0.2235623002052307
canyon,landscape,0.30136823654174805
car,automobile,0.3470192551612854
car,flight,0.33493873476982117
cell,phone,0.013663804158568382
century,nation,0.4007914066314697
century,year,0.48987871408462524
championship,tournament,0.38489049673080444
change,attitude,0.4395747482776642
chord,smile,0.5764054656028748
closet,clothes,0.34438082575798035
coast,forest,0.42302194237709045
coast,hill,0.7058748006820679
coast,shore,0.5579928159713745
company,stock,0.4546714723110199
competition,price,0.3628028333187103
computer,laboratory,0.13056671619415283
computer,news,0.29354363679885864
consumer,confidence,0.03788428008556366
consumer,energy,0.43176406621932983
country,citizen,0.33242926001548767
credit,card,0.11357787251472473
credit,information,0.39361852407455444
cup,article,0.23821309208869934
cup,coffee,0.6639047861099243
cup,drink,0.5713294148445129
cup,entity,0.23030513525009155
cup,food,0.1113637313246727
cup,liquid,0.27901381254196167
cup,object,0.23225107789039612
cup,substance,0.3012389838695526
currency,market,0.3897261619567871
day,dawn,0.3446276783943176
day,summer,0.5775150060653687
death,row,0.2944561243057251
delay,news,0.35040614008903503
development,issue,0.38818562030792236
direction,combination,0.23265980184078217
disability,death,0.07713744789361954
disaster,area,0.1819782257080078
discovery,space,0.09640424698591232
dividend,calculation,0.47820955514907837
dividend,payment,0.4533695578575134
doctor,liability,0.2596379816532135
doctor,nurse,0.4274575114250183
doctor,personnel,-0.004246393218636513
dollar,buck,0.07794000208377838
dollar,loss,0.20551276206970215
dollar,profit,0.3548099100589752
drink,car,0.4683053493499756
drink,ear,0.6161293387413025
drink,eat,0.3231891393661499
drink,mother,0.4969712793827057
drink,mouth,0.4870249330997467
drug,abuse,0.4417533278465271
energy,crisis,0.25020143389701843
energy,laboratory,0.2601969242095947
energy,secretary,0.22885866463184357
equipment,maker,0.24941745400428772
experience,music,0.4508907198905945
family,planning,0.164114847779274
FBI,fingerprint,0.19704817235469818
FBI,investigation,0.15170013904571533
fertility,egg,0.0014627529308199883
five,month,0.46353912353515625
focus,life,0.4170513153076172
food,fruit,0.14293257892131805
food,preparation,0.39539065957069397
football,basketball,0.3344257175922394
football,tennis,0.5301523208618164
forest,graveyard,0.4569362998008728
furnace,stove,0.5691896080970764
game,defeat,0.20243442058563232
game,round,0.44574403762817383
game,series,0.369811087846756
game,team,0.47157907485961914
game,victory,0.42143750190734863
glass,metal,0.618341863155365
government,crisis,0.3910863697528839
governor,interview,0.319088339805603
governor,office,0.5486279726028442
grocery,money,0.2214624285697937
Harvard,Yale,0.6607404947280884
holy,sex,0.18400168418884277
hotel,reservation,0.23561352491378784
hundred,percent,0.47485873103141785
image,surface,0.31889474391937256
investigation,effort,0.3573128581047058
jaguar,car,0.41199225187301636
jaguar,cat,0.5742112994194031
Japanese,American,0.3848675489425659
Jerusalem,Israel,0.33125102519989014
journal,association,0.48794931173324585
journey,car,0.46875375509262085
journey,voyage,0.5467194318771362
king,queen,0.6194590330123901
lad,brother,0.28893157839775085
law,lawyer,0.2045486867427826
lawyer,evidence,-0.04573630169034004
liability,insurance,0.5132604837417603
life,death,0.3881991505622864
life,lesson,0.2954537272453308
life,term,0.14853926002979279
line,insurance,-0.047990184277296066
liquid,water,0.5341442823410034
listing,category,0.37492579221725464
listing,proximity,0.42386510968208313
love,sex,0.28632432222366333
lover,quarrel,0.4770876169204712
luxury,car,0.1411885917186737
man,governor,0.28266507387161255
man,woman,0.7112946510314941
Mars,scientist,0.06317801773548126
Mars,water,0.29756787419319153
media,gain,0.3570888042449951
media,radio,0.3146026134490967
media,trading,0.4130527377128601
Mexico,Brazil,0.3112605810165405
midday,noon,0.4131263196468353
mile,kilometer,0.5006208419799805
minister,party,0.4701266884803772
ministry,culture,0.6099830269813538
minority,peace,0.15555816888809204
money,bank,0.08951713144779205
money,cash,0.44898974895477295
money,cash,0.44898974895477295
money,currency,0.34253156185150146
money,deposit,0.21940599381923676
money,dollar,0.2719046473503113
money,laundering,0.24921303987503052
money,operation,0.33563071489334106
money,possession,0.3654700815677643
money,property,0.4572054147720337
money,wealth,0.28385037183761597
money,withdrawal,0.3327772915363312
monk,slave,0.22563935816287994
month,hotel,0.2633841037750244
morality,importance,0.46619975566864014
morality,marriage,0.41138407588005066
movie,critic,0.4562894403934479
movie,star,0.4518650472164154
movie,theater,0.44728273153305054
museum,theater,0.5557524561882019
music,project,0.18140684068202972
nature,environment,0.5905923843383789
nature,man,0.2807173430919647
network,hardware,0.29792916774749756
news,report,0.5199057459831238
noon,string,0.27432897686958313
observation,architecture,0.2577110528945923
oil,stock,0.415328711271286
opera,industry,0.21782933175563812
opera,performance,0.1306641399860382
peace,atmosphere,0.2383027970790863
peace,insurance,0.18044692277908325
peace,plan,0.4452452063560486
phone,equipment,0.006971220951527357
physics,chemistry,0.3736499547958374
plane,car,0.566290020942688
planet,moon,0.5103312134742737
planet,people,0.22823023796081543
planet,space,0.17672406136989594
planet,star,0.2545950710773468
planet,sun,0.337995707988739
population,development,0.5859124660491943
possibility,girl,0.2794296145439148
practice,institution,0.49269115924835205
precedent,collection,0.3187302350997925
precedent,example,0.5221533179283142
precedent,group,0.23745006322860718
precedent,information,0.22191789746284485
precedent,law,0.16140732169151306
prejudice,recognition,0.19373033940792084
preservation,world,0.07222965359687805
president,medal,0.28306150436401367
problem,airport,0.14102335274219513
problem,challenge,0.35157257318496704
production,crew,0.2799094617366791
professor,doctor,0.43090659379959106
profit,loss,0.32210269570350647
profit,warning,0.0020521022379398346
psychology,anxiety,0.4343574047088623
psychology,depression,0.2485501617193222
psychology,discipline,0.42234039306640625
psychology,doctor,0.2428228259086609
psychology,fear,0.29158222675323486
psychology,Freud,0.4980089068412781
psychology,health,0.3207826316356659
psychology,mind,0.24280144274234772
psychology,science,0.3425808846950531
reason,criterion,0.1720782369375229
record,number,0.22817271947860718
registration,arrangement,0.006079175975173712
report,gain,0.3347962498664856
rock,jazz,0.3531465530395508
school,center,0.34744104743003845
secretary,senate,0.5035557150840759
seven,series,0.38283953070640564
shower,flood,0.24760134518146515
situation,conclusion,0.4785747826099396
situation,isolation,0.3663637936115265
size,prominence,0.26474297046661377
skin,eye,0.4996962547302246
smart,student,0.0283039640635252
smart,stupid,0.35197222232818604
soap,opera,0.024532686918973923
space,chemistry,0.3100265562534332
space,world,0.35547804832458496
start,match,0.3970238268375397
start,year,0.298533171415329
stock,CD,0.20484797656536102
stock,egg,0.17539051175117493
stock,jaguar,0.09609101712703705
stock,life,0.08233723044395447
stock,live,-0.08931294828653336
stock,market,0.4602552056312561
stock,phone,0.035703565925359726
street,avenue,0.5782650113105774
street,block,0.5663315653800964
street,children,0.0825207307934761
street,place,0.20773935317993164
stroke,hospital,0.3801465928554535
student,professor,0.35476139187812805
sugar,approach,0.08858717978000641
summer,drought,0.28215089440345764
summer,nature,-0.05129525810480118
telephone,communication,-0.006638627499341965
